gene-chr,gene-start,gene-end,mRNA-start,mRNA-end,gene-ID,Genbank,Product,mRNALength
NC_035782.1,71202020,71207846,71202020,71207846,111127034,XM_022472016.1,platelet-activating factor acetylhydrolase IB subunit beta-like,5826
NC_035782.1,71214721,71220614,71214721,71220614,111126239,XM_022470729.1,neurogenic locus Notch protein-like,5893
NC_035782.1,71222069,71223116,71222069,71223116,111124429,XM_022467281.1,trissin receptor-like,1047
NC_035782.1,71230913,71255533,71230913,71255533,111124808,XM_022468000.1,CAP-Gly domain-containing linker protein 1-like,24620
NC_035782.1,71250945,71269260,71250945,71269260,111124807,XM_022467996.1,myosin-3-like,18315
NC_035782.1,71271108,71280623,71271108,71280623,111123233,XM_022465426.1,uncharacterized LOC111123233,9515
NC_035782.1,71300189,71306336,71300189,71306336,111126606,XM_022471361.1,uncharacterized LOC111126606,6147
NC_035782.1,71309279,71317328,71309279,71317328,111122874,XM_022464888.1,sodium-dependent proline transporter-like,8049
NC_035782.1,71319338,71324489,71319338,71324489,111126610,XM_022471367.1,casein kinase II subunit beta,5151
NC_035782.1,71325791,71327838,71325791,71327838,111126611,XM_022471368.1,uncharacterized LOC111126611,2047
NC_035782.1,71328641,71352050,71328641,71352050,111125271,XM_022468868.1,nuclear factor related to kappa-B-binding protein-like,23409
NC_035782.1,71348556,71354355,71348556,71354355,111125272,XM_022468871.1,eukaryotic translation initiation factor 3 subunit F-like,5799
NC_035782.1,71360315,71364828,71360316,71364828,111126225,XM_022470710.1,histone deacetylase complex subunit SAP30 homolog,4512
NC_035782.1,71364970,71367397,71364970,71367397,111126226,XM_022470712.1,high mobility group-T protein-like,2427
NC_035782.1,71369491,71419898,71369491,71419898,111123691,XM_022466200.1,probable phospholipid-transporting ATPase IA,50407
NC_035782.1,71419926,71436686,71419926,71436686,111123693,XM_022466213.1,exosome complex component RRP45-like,16760
NC_035782.1,71437067,71440757,71437067,71440757,111122939,XM_022464977.1,G2/mitotic-specific cyclin-A-like,3690
NC_035782.1,71446187,71487568,71446188,71487568,111127260,XM_022472359.1,DNA repair protein RAD50-like,41380
NC_035782.1,71500801,71510880,71500801,71510880,111126745,XM_022471584.1,POU domain,10079
NC_035782.1,71523183,71552387,71523183,71552387,111124694,XM_022467809.1,CD109 antigen-like,29204
NC_035782.1,71566824,71582230,71566824,71582230,111123245,XM_022465462.1,spermatogenesis-associated protein 5-like,15406
NC_035782.1,71589636,71598660,71589636,71598660,111123725,XM_022466262.1,uncharacterized LOC111123725,9024
NC_035782.1,71601457,71627685,71601458,71627685,111127010,XM_022471984.1,uncharacterized LOC111127010,26227
NC_035782.1,71632738,71638100,71632738,71638100,111125857,XM_022470052.1,tetraspanin-18-like,5362
NC_035782.1,71640976,71687342,71640976,71687342,111127510,XM_022472715.1,uncharacterized protein KIAA1109-like,46366
NC_035782.1,71689059,71700246,71689059,71700246,111126327,XM_022470868.1,kinesin-like protein KIF3A,11187
NC_035782.1,71700279,71702308,71700279,71702308,111127168,XM_022472233.1,cytochrome c oxidase assembly factor 5-like,2029
NC_035782.1,71706085,71711032,71706086,71708411,111127073,XM_022472078.1,uncharacterized LOC111127073,2325
NC_035782.1,71711220,71718099,71711220,71718099,111127072,XM_022472077.1,radial spoke head protein 6 homolog A-like,6879
NC_035782.1,71719136,71738994,71719136,71738994,111125124,XM_022468618.1,hamartin-like,19858
NC_035782.1,71740204,71746184,71740204,71746184,111125126,XM_022468620.1,uncharacterized LOC111125126,5980
NC_035782.1,71746625,71759394,71746625,71759394,111126147,XM_022470572.1,serine/threonine-protein phosphatase 1 regulatory subunit 10-like,12769
NC_035782.1,71762209,71764182,71762209,71764182,111126697,XM_022471517.1,neurotensin receptor type 1-like,1973
NC_035782.1,71766742,71785884,71766742,71785884,111125735,XM_022469812.1,axonemal dynein light chain domain-containing protein 1-like,19142
NC_035782.1,71785856,71791417,71785856,71791417,111125737,XM_022469815.1,surfeit locus protein 2-like,5561
NC_035782.1,71793647,71798035,71793647,71798035,111122538,XM_022464323.1,uncharacterized LOC111122538,4388
NC_035782.1,71799454,71828507,71799454,71828507,111123083,XM_022465178.1,putative carbonic anhydrase-like protein 2,29053
NC_035782.1,71858778,71860158,71858778,71860158,111124430,XM_022467282.1,uncharacterized protein K02A2.6-like,1380
NC_035782.1,71882645,71892136,71882645,71892136,111123723,XM_022466258.1,glycine receptor subunit alpha-1-like,9491
NC_035782.1,71896854,71909192,71896854,71909192,111126896,XM_022471819.1,glycine receptor subunit alpha-2-like,12338
NC_035782.1,71912161,71923534,71912161,71923534,111126897,XM_022471820.1,glycine receptor subunit alpha-2-like,11373
NC_035782.1,71925975,71935122,71925975,71935122,111126309,XM_022470846.1,uncharacterized LOC111126309,9147
NC_035782.1,71938256,71956028,71938256,71956028,111125086,XM_022468550.1,uncharacterized LOC111125086,17772
NC_035782.1,71955464,71964324,71955464,71964324,111125085,XM_022468548.1,solute carrier family 26 member 10-like,8860
NC_035782.1,71964855,71975733,71964855,71975733,111122841,XM_022464849.1,uncharacterized LOC111122841,10878
NC_035782.1,71978462,71980982,71978462,71980982,111123595,XM_022466027.1,protein unc-93 homolog A-like,2520
NC_035782.1,71981870,71986666,71981870,71986666,111126099,XM_022470501.1,uncharacterized LOC111126099,4796
NC_035782.1,71988253,71992203,71988253,71992203,111122955,XM_022464999.1,uncharacterized LOC111122955,3950
NC_035782.1,71997883,72018889,71997883,72018889,111125795,XM_022469919.1,poly [ADP-ribose] polymerase 14-like,21006
NC_035782.1,72015108,72026499,72015108,72026499,111125794,XM_022469918.1,uncharacterized LOC111125794,11391
NC_035782.1,72036410,72048432,72036410,72048432,111126113,XM_022470523.1,sodium- and chloride-dependent glycine transporter 1-like,12022
NC_035782.1,72050849,72073142,72050849,72073142,111126114,XM_022470525.1,sodium- and chloride-dependent glycine transporter 1-like,22293
NC_035782.1,72075185,72089347,72075185,72089347,111127053,XM_022472051.1,kelch-like protein 20,14162
NC_035782.1,72087345,72090245,72087345,72090245,111127054,XM_022472052.1,uncharacterized LOC111127054,2900
NC_035782.1,72098654,72120491,72098654,72120491,111125486,XM_022469377.1,TBC1 domain family member 19-like,21837
NC_035782.1,72123282,72130992,72123282,72130992,111125487,XM_022469381.1,uncharacterized LOC111125487,7710
NC_035782.1,72131824,72133175,72131824,72133175,111122695,XM_022464568.1,uncharacterized LOC111122695,1351
NC_035782.1,72134006,72139715,72134006,72139715,111124847,XM_022468066.1,heat shock 70 kDa protein 12A-like,5709
NC_035782.1,72139666,72148184,72139666,72148184,111124846,XM_022468065.1,uncharacterized LOC111124846,8518
NC_035782.1,72147475,72149968,72147475,72149968,111124432,XM_022467283.1,uncharacterized LOC111124432,2493
NC_035782.1,72148668,72158905,72148668,72158905,111124845,XM_022468064.1,kelch-like protein 20,10237
NC_035782.1,72159525,72179616,72159525,72179616,111125667,XM_022469706.1,sodium- and chloride-dependent glycine transporter 1-like,20091
NC_035782.1,72184637,72196685,72184637,72196685,111125666,XM_022469705.1,sodium- and chloride-dependent glycine transporter 1-like,12048
NC_035782.1,72205997,72216921,72205997,72216921,111126111,XM_022470518.1,uncharacterized LOC111126111,10924
NC_035782.1,72213107,72237244,72213107,72237244,111126112,XM_022470520.1,poly [ADP-ribose] polymerase 14-like,24137
NC_035782.1,72239174,72242926,72239174,72242926,111126110,XM_022470517.1,uncharacterized LOC111126110,3752
NC_035782.1,72244132,72248243,72244132,72248243,111126085,XM_022470487.1,uncharacterized LOC111126085,4111
NC_035782.1,72249042,72251335,72249042,72251335,111123611,XM_022466059.1,protein unc-93 homolog A-like,2293
NC_035782.1,72254347,72264464,72254349,72264464,111122626,XM_022464443.1,uncharacterized LOC111122626,10115
NC_035782.1,72265000,72273295,72265000,72273295,111126713,XM_022471540.1,prestin-like,8295
NC_035782.1,72272753,72290185,72272753,72290185,111126714,XM_022471544.1,uncharacterized LOC111126714,17432
NC_035782.1,72296329,72306853,72296329,72306853,111126856,XM_022471764.1,uncharacterized LOC111126856,10524
NC_035782.1,72310697,72339461,72310697,72339461,111127344,XM_022472474.1,glycine receptor subunit alpha-2-like,28764
NC_035782.1,72344883,72358946,72344883,72358946,111122821,XM_022464809.1,glycine receptor subunit alpha-2-like,14063
NC_035782.1,72363916,72372212,72363916,72372212,111126221,XM_022470700.1,glycine receptor subunit alpha-1-like,8296
NC_035782.1,72389573,72390953,72389573,72390953,111124433,XM_022467284.1,uncharacterized protein K02A2.6-like,1380
NC_035782.1,72430911,72435378,72430911,72435378,111122580,XM_022464371.1,uncharacterized LOC111122580,4467
NC_035782.1,72437263,72442637,72437263,72442637,111125884,XM_022470099.1,surfeit locus protein 2-like,5374
NC_035782.1,72442645,72460582,72442645,72460582,111125885,XM_022470100.1,axonemal dynein light chain domain-containing protein 1-like,17937
NC_035782.1,72464127,72465277,72464127,72465277,111126808,XM_022471700.1,neurotensin receptor type 1-like,1150
NC_035782.1,72473708,72486495,72473708,72486495,111126428,XM_022471073.1,serine/threonine-protein phosphatase 1 regulatory subunit 10-like,12787
NC_035782.1,72486950,72493742,72486950,72493742,111125485,XM_022469375.1,uncharacterized LOC111125485,6792
NC_035782.1,72495558,72516326,72495558,72516326,111125483,XM_022469371.1,hamartin-like,20768
NC_035782.1,72517497,72524288,72517497,72524288,111122944,XM_022464981.1,radial spoke head protein 6 homolog A-like,6791
NC_035782.1,72524309,72529374,72527124,72529374,111122945,XM_022464982.1,uncharacterized LOC111122945,2250
NC_035782.1,72533402,72536152,72533402,72536152,111126135,XM_022470551.1,cytochrome c oxidase assembly factor 5-like,2750
NC_035782.1,72536160,72548143,72536160,72548143,111126134,XM_022470549.1,kinesin-like protein KIF3A,11983
NC_035782.1,72549780,72607835,72549780,72607835,111126798,XM_022471670.1,uncharacterized protein KIAA1109-like,58055
NC_035782.1,72611216,72618185,72611216,72618185,111126012,XM_022470367.1,tetraspanin-18-like,6969
NC_035782.1,72624276,72637025,72624276,72637025,111127079,XM_022472090.1,uncharacterized LOC111127079,12749
NC_035782.1,72639406,72648630,72639406,72648630,111126365,XM_022470931.1,uncharacterized LOC111126365,9224
NC_035782.1,72655346,72669979,72655346,72669979,111122623,XM_022464440.1,spermatogenesis-associated protein 5-like,14633
NC_035782.1,72683266,72717330,72683266,72717330,111124638,XM_022467692.1,CD109 antigen-like,34064
NC_035782.1,72729459,72745491,72729459,72745491,111127064,XM_022472066.1,POU domain,16032
NC_035782.1,72754085,72784110,72754085,72784035,111127309,XM_022472415.1,DNA repair protein RAD50-like,29950
NC_035782.1,72787772,72791530,72787772,72791530,111122860,XM_022464868.1,G2/mitotic-specific cyclin-A-like,3758
NC_035782.1,72791857,72807826,72791858,72807826,111123905,XM_022466598.1,exosome complex component RRP45-like,15968
NC_035782.1,72807317,72842474,72807317,72842474,111123904,XM_022466596.1,probable phospholipid-transporting ATPase IA,35157
NC_035782.1,72844572,72846999,72844572,72846999,111125762,XM_022469852.1,high mobility group-T protein-like,2427
NC_035782.1,72847141,72850128,72847141,72850128,111125760,XM_022469850.1,histone deacetylase complex subunit SAP30 homolog,2987
NC_035782.1,72856675,72862443,72856675,72862443,111125652,XM_022469665.1,eukaryotic translation initiation factor 3 subunit F-like,5768
NC_035782.1,72858968,72883045,72858968,72883045,111125651,XM_022469662.1,nuclear factor related to kappa-B-binding protein-like,24077
NC_035782.1,72887771,72892900,72887771,72892900,111122907,XM_022464942.1,casein kinase II subunit beta,5129
NC_035782.1,72895110,72903701,72895110,72903701,111122948,XM_022464985.1,sodium- and chloride-dependent glycine transporter 2-like,8591
NC_035782.1,72906156,72911395,72906156,72911395,111126680,XM_022471486.1,uncharacterized LOC111126680,5239
NC_035782.1,72934598,72940814,72934598,72940814,111123323,XM_022465578.1,uncharacterized LOC111123323,6216
NC_035782.1,72942903,72960816,72942903,72960816,111126515,XM_022471211.1,myosin-3-like,17913
NC_035782.1,72963465,72977919,72963465,72977919,111122511,XM_022464287.1,CAP-Gly domain-containing linker protein 1-like,14454
NC_035782.1,72985294,72986307,72985294,72986307,111124434,XM_022467286.1,trissin receptor-like,1013
NC_035782.1,72987778,72993183,72987778,72993183,111126533,XM_022471241.1,protein crumbs-like,5405
NC_035782.1,72999069,73007249,72999069,73007249,111126866,XM_022471773.1,platelet-activating factor acetylhydrolase IB subunit beta-like,8180
NC_035782.1,73007417,73034081,73007417,73034081,111124696,XM_022467813.1,E3 SUMO-protein ligase RanBP2-like,26664
NC_035782.1,73035476,73041613,73035476,73041613,111126431,XM_022471078.1,39S ribosomal protein L39,6137
NC_035782.1,73041832,73046668,73041832,73046668,111124913,XM_022468216.1,cilia- and flagella-associated protein 45-like,4836
NC_035782.1,73046862,73071284,73046862,73071284,111124914,XM_022468217.1,zinc finger HIT domain-containing protein 2-like,24422
NC_035782.1,73071941,73075061,73071941,73075061,111127112,XM_022472140.1,uncharacterized LOC111127112,3120
NC_035782.1,73082298,73094803,73082298,73094803,111126681,XM_022471489.1,connective tissue growth factor-like,12505
NC_035782.1,73096741,73103025,73096741,73103025,111124435,XM_022467287.1,homeobox protein BarH-like 1,6284
NC_035782.1,73103407,73108618,73103407,73108618,111123404,XM_022465703.1,uncharacterized LOC111123404,5211
NC_035782.1,73108797,73114572,73108797,73114572,111123698,XM_022466219.1,prefoldin subunit 2-like,5775
NC_035782.1,73115956,73132543,73115956,73132543,111126719,XM_022471552.1,uncharacterized LOC111126719,16587
NC_035782.1,73138656,73141819,73138656,73141819,111122812,XM_022464792.1,uncharacterized LOC111122812,3163
NC_035782.1,73158098,73164652,73158098,73164652,111125785,XM_022469906.1,vacuolar protein-sorting-associated protein 36-like,6554
NC_035782.1,73164567,73172855,73164567,73172855,111125784,XM_022469905.1,glutathione S-transferase C-terminal domain-containing protein-like,8288
NC_035782.1,73173091,73178407,73173091,73178407,111125137,XM_022468640.1,mothers against decapentaplegic homolog 5-like,5316
NC_035782.1,73181012,73183853,73181012,73183853,111125136,XM_022468639.1,BTB/POZ domain-containing protein 6-B-like,2841
NC_035782.1,73190030,73197766,73190030,73197766,111125658,XM_022469678.1,protein ABHD14B-like,7736
NC_035782.1,73197653,73212480,73197653,73212480,111125657,XM_022469676.1,serine/threonine-protein phosphatase 2A activator-like,14827
NC_035782.1,73218587,73219839,73218587,73219839,111125908,XM_022470142.1,heat shock protein 30C-like,1252
NC_035782.1,73221110,73224816,73221110,73224816,111125909,XM_022470145.1,probable RNA-binding protein 18,3706
NC_035782.1,73221117,73254272,73221117,73254272,111125906,XM_022470135.1,signal transducer and activator of transcription 5A-like,33155
NC_035782.1,73260698,73282966,73260698,73282966,111125907,XM_022470141.1,signal transducer and activator of transcription 5B-like,22268
NC_035782.1,73284462,73287077,73284465,73287077,111126958,XM_022471913.1,CST complex subunit TEN1-like,2612
NC_035782.1,73287224,73294867,73287224,73294867,111126689,XM_022471502.1,ubiquitin carboxyl-terminal hydrolase 2-like,7643
NC_035782.1,73302858,73310102,73302858,73310102,111122873,XM_022464887.1,uncharacterized LOC111122873,7244
NC_035782.1,73312618,73320507,73312618,73320507,111127641,XM_022472900.1,uncharacterized LOC111127641,7889
NC_035782.1,73320949,73323272,73320949,73323272,111122691,XM_022464565.1,uncharacterized LOC111122691,2323
NC_035782.1,73325079,73334511,73325079,73334511,111122768,XM_022464667.1,protein maelstrom homolog,9432
NC_035782.1,73337196,73349561,73337196,73349561,111126119,XM_022470530.1,uncharacterized LOC111126119,12365
NC_035782.1,73350610,73361789,73350610,73361789,111122499,XM_022464271.1,sodium-coupled monocarboxylate transporter 1-like,11179
NC_035782.1,73370301,73379800,73370301,73379800,111127170,XM_022472236.1,paired mesoderm homeobox protein 2-like,9499
NC_035782.1,73396297,73409595,73396297,73409595,111126752,XM_022471591.1,von Willebrand factor D and EGF domain-containing protein-like,13298
NC_035782.1,73410135,73414714,73410135,73414714,111126753,XM_022471592.1,potassium voltage-gated channel protein egl-36-like,4579
NC_035782.1,73426173,73432987,73426173,73432987,111123485,XM_022465825.1,heat shock 70 kDa protein 12A-like,6814
NC_035782.1,73438026,73448121,73438345,73448121,111126844,XM_022471747.1,NF-X1-type zinc finger protein NFXL1-like,9776
NC_035782.1,73448266,73458051,73448266,73458051,111125231,XM_022468804.1,ubiquitin-protein ligase E3A-like,9785
NC_035782.1,73460581,73488585,73460581,73488585,111127274,XM_022472378.1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5-like,28004
NC_035782.1,73469808,73472445,73469808,73472445,111127275,XM_022472380.1,uncharacterized LOC111127275,2637
NC_035782.1,73504129,73510562,73504129,73510562,111127276,XM_022472381.1,RING finger protein 150-like,6433
NC_035782.1,73522398,73525527,73522398,73525527,111124436,XM_022467288.1,uncharacterized LOC111124436,3129
NC_035782.1,73544883,73551677,73544883,73551677,111126465,XM_022471145.1,RING finger protein 150-like,6794
NC_035782.1,73573892,73575910,73573892,73575910,111124437,XM_022467290.1,uncharacterized LOC111124437,2018
NC_035782.1,73576672,73585925,73576672,73585925,111124438,XM_022467291.1,uncharacterized LOC111124438,9253
NC_035782.1,73586976,73590250,73586976,73590250,111122720,XM_022464602.1,mucin-5AC-like,3274
NC_035782.1,73599898,73605809,73599898,73605809,111127464,XM_022472647.1,uncharacterized family 31 glucosidase KIAA1161-like,5911
NC_035782.1,73606080,73610917,73606080,73610917,111125938,XM_022470199.1,NF-kappa-B inhibitor-like protein 1,4837
NC_035782.1,73611753,73627384,73611753,73627384,111125939,XM_022470200.1,nose resistant to fluoxetine protein 6-like,15631
NC_035782.1,73627684,73636836,73627684,73636836,111126230,XM_022470716.1,uncharacterized LOC111126230,9152
NC_035782.1,73638957,73651523,73638957,73651523,111127131,XM_022472169.1,calcium-binding mitochondrial carrier protein SCaMC-2-like,12566
NC_035782.1,73654093,73661516,73654093,73661516,111127633,XM_022472892.1,uncharacterized LOC111127633,7423
NC_035782.1,73667557,73669575,73667557,73669575,111124439,XM_022467292.1,protein PML-like,2018
NC_035782.1,73673141,73676975,73673141,73676975,111126502,XM_022471190.1,uridine-cytidine kinase 2-like,3834
NC_035782.1,73678398,73684660,73678398,73684660,111126501,XM_022471188.1,surfeit locus protein 1-like,6262
NC_035782.1,73684694,73688419,73684694,73688419,111126088,XM_022470492.1,prefoldin subunit 6-like,3725
NC_035782.1,73703349,73706115,73703349,73706115,111127116,XM_022472144.1,ankyrin repeat and protein kinase domain-containing protein 1-like,2766
NC_035782.1,73721549,73730790,73721549,73730790,111126290,XM_022470808.1,uncharacterized LOC111126290,9241
NC_035782.1,73744884,73755096,73744884,73755096,111123810,XM_022466406.1,uncharacterized LOC111123810,10212
NC_035782.1,73783986,73788040,73783986,73788040,111127393,XM_022472552.1,uncharacterized LOC111127393,4054
NC_035782.1,73794695,73796181,73794695,73796181,111126282,XM_022470799.1,ankycorbin-like,1486
NC_035782.1,73802703,73805375,73802703,73805375,111123738,XM_022466278.1,putative ankyrin repeat protein RF_0580,2672
NC_035782.1,73814004,73815736,73814004,73815736,111127259,XM_022472356.1,putative ankyrin repeat protein PA3287,1732
NC_035782.1,73824207,73825732,73824207,73825732,111124440,XM_022467294.1,growth hormone secretagogue receptor type 1-like,1525
NC_035782.1,73833845,73855112,73833845,73855112,111123612,XM_022466060.1,uncharacterized LOC111123612,21267
NC_035782.1,73864962,73881439,73864962,73881431,111126514,XM_022471208.1,uncharacterized LOC111126514,16469
NC_035782.1,73906109,73922141,73906109,73922141,111123640,XM_022466101.1,uncharacterized LOC111123640,16032
NC_035782.1,73938220,73946173,73938220,73946173,111127363,XM_022472508.1,probable serine/threonine-protein kinase DDB_G0288147,7953
NC_035782.1,73952786,73962218,73952787,73962218,111122954,XM_022464998.1,uncharacterized LOC111122954,9431
NC_035782.1,73968227,73983096,73968227,73983096,111127043,XM_022472030.1,golgin subfamily A member 6-like protein 22,14869
NC_035782.1,73986529,73991078,73986529,73991078,111127354,XM_022472493.1,60S ribosomal protein L9-like,4549
NC_035782.1,73991259,74019352,73991259,74019352,111127353,XM_022472492.1,protein YIPF5-like,28093
NC_035782.1,73998371,74014740,73998371,74014740,111127351,XM_022472488.1,leucine-rich repeat-containing protein 24-like,16369
NC_035782.1,74019400,74026079,74019400,74026079,111127352,XM_022472491.1,histidine protein methyltransferase 1 homolog,6679
NC_035782.1,74026117,74054366,74026117,74054366,111127355,XM_022472496.1,general transcription factor 3C polypeptide 4-like,28249
NC_035782.1,74110214,74111408,74110214,74111408,111127455,XM_022472634.1,uncharacterized LOC111127455,1194
NC_035782.1,74145526,74154430,74145526,74154430,111124441,XM_022467295.1,piggyBac transposable element-derived protein 4-like,8904
NC_035782.1,74183391,74214538,74183391,74214538,111126181,XM_022470633.1,general transcription factor 3C polypeptide 4-like,31147
NC_035782.1,74194734,74196561,74194734,74196561,111126183,XM_022470635.1,uncharacterized LOC111126183,1827
NC_035782.1,74196239,74199277,74196239,74199277,111126182,XM_022470634.1,integrase/recombinase xerD homolog,3038
NC_035782.1,74214576,74229691,74214576,74229691,111126946,XM_022471897.1,histidine protein methyltransferase 1 homolog,15115
NC_035782.1,74232594,74257901,74232594,74257901,111123462,XM_022465788.1,protein YIPF5-like,25307
NC_035782.1,74233061,74234619,74233061,74234619,111123466,XM_022465791.1,uncharacterized LOC111123466,1558
NC_035782.1,74236107,74251207,74236107,74251207,111123460,XM_022465778.1,leucine-rich repeat-containing protein 24-like,15100
NC_035782.1,74258071,74262628,74258071,74262628,111123463,XM_022465789.1,60S ribosomal protein L9-like,4557
NC_035782.1,74266426,74278603,74266426,74278603,111126986,XM_022471950.1,golgin subfamily A member 6-like protein 22,12177
NC_035782.1,74285606,74293440,74285606,74293440,111122799,XM_022464733.1,uncharacterized LOC111122799,7834
NC_035782.1,74302550,74340292,74325623,74340292,111123136,XM_022465280.1,putative uncharacterized protein DDB_G0287457,14669
NC_035782.1,74362997,74383414,74362997,74383414,111126303,XM_022470838.1,uncharacterized LOC111126303,20417
NC_035782.1,74390960,74409758,74390960,74409758,111125997,XM_022470337.1,uncharacterized LOC111125997,18798
NC_035782.1,74416902,74418426,74416902,74418426,111124442,XM_022467296.1,trissin receptor-like,1524
NC_035782.1,74422414,74423227,74422414,74423227,111126769,XM_022471621.1,uncharacterized LOC111126769,813
NC_035782.1,74423402,74424214,74423402,74424214,111126879,XM_022471790.1,uncharacterized LOC111126879,812
NC_035782.1,74424218,74425773,74424218,74425773,111124443,XM_022467297.1,uncharacterized LOC111124443,1555
NC_035782.1,74430079,74431834,74430079,74431834,111122557,XM_022464345.1,putative ankyrin repeat protein PA3287,1755
NC_035782.1,74440457,74442869,74440457,74442869,111123592,XM_022466023.1,putative ankyrin repeat protein RF_0580,2412
NC_035782.1,74449494,74450999,74449494,74450999,111126493,XM_022471178.1,histone-lysine N-methyltransferase EHMT1-like,1505
NC_035782.1,74457775,74461658,74457775,74461658,111127272,XM_022472375.1,uncharacterized LOC111127272,3883
NC_035782.1,74496148,74501740,74496148,74501740,111123037,XM_022465120.1,uncharacterized LOC111123037,5592
NC_035782.1,74502413,74513928,74502413,74513928,111123063,XM_022465153.1,uncharacterized LOC111123063,11515
NC_035782.1,74521369,74528491,74521369,74528491,111123062,XM_022465152.1,uncharacterized LOC111123062,7122
NC_035782.1,74536595,74539355,74536595,74539355,111126913,XM_022471846.1,ankyrin repeat and protein kinase domain-containing protein 1-like,2760
NC_035782.1,74553484,74557211,74553484,74557211,111126124,XM_022470536.1,prefoldin subunit 6-like,3727
NC_035782.1,74557244,74563553,74557244,74563553,111127303,XM_022472406.1,surfeit locus protein 1-like,6309
NC_035782.1,74565559,74569156,74565559,74569156,111123054,XM_022465143.1,uridine-cytidine kinase 2-like,3597
NC_035782.1,74571683,74574499,74571683,74574499,111125849,XM_022470030.1,protein PML-like,2816
NC_035782.1,74580545,74588831,74580545,74588831,111125848,XM_022470029.1,uncharacterized LOC111125848,8286
NC_035782.1,74590672,74610799,74590672,74610799,111126701,XM_022471523.1,calcium-binding mitochondrial carrier protein SCaMC-2-like,20127
NC_035782.1,74614272,74622166,74614272,74622166,111126410,XM_022471033.1,uncharacterized LOC111126410,7894
NC_035782.1,74623875,74639905,74623875,74639905,111127409,XM_022472570.1,nose resistant to fluoxetine protein 6-like,16030
NC_035782.1,74640872,74645614,74640872,74645614,111123087,XM_022465184.1,NF-kappa-B inhibitor-like protein 1,4742
NC_035782.1,74645832,74650972,74645832,74650972,111127386,XM_022472545.1,uncharacterized family 31 glucosidase KIAA1161-like,5140
NC_035782.1,74660880,74664141,74660880,74664141,111127295,XM_022472397.1,mucin-5AC-like,3261
NC_035782.1,74664869,74670341,74664869,74670341,111126899,XM_022471823.1,uncharacterized LOC111126899,5472
NC_035782.1,74673915,74677147,74673915,74677147,111124444,XM_022467298.1,uncharacterized LOC111124444,3232
NC_035782.1,74685459,74700790,74685459,74700790,111123068,XM_022465157.1,RING finger protein 150-like,15331
NC_035782.1,74703264,74705656,74703264,74705656,111123067,XM_022465156.1,uncharacterized LOC111123067,2392
NC_035782.1,74705772,74716461,74705772,74716461,111123066,XM_022465155.1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5-like,10689
NC_035782.1,74717338,74726201,74717338,74726201,111125292,XM_022468909.1,ubiquitin-protein ligase E3A-like,8863
NC_035782.1,74726354,74736066,74726354,74736066,111122712,XM_022464590.1,NF-X1-type zinc finger protein NFXL1-like,9712
NC_035782.1,74737340,74740910,74737340,74740910,111123555,XM_022465958.1,heat shock 70 kDa protein 12A-like,3570
NC_035782.1,74752195,74756196,74752195,74756196,111126957,XM_022471912.1,potassium voltage-gated channel protein egl-36-like,4001
NC_035782.1,74757118,74770081,74757118,74770081,111127130,XM_022472168.1,von Willebrand factor D and EGF domain-containing protein-like,12963
NC_035782.1,74787412,74796904,74787412,74796904,111122547,XM_022464330.1,paired mesoderm homeobox protein 2-like,9492
NC_035782.1,74805252,74816649,74805252,74816649,111125053,XM_022468502.1,sodium-coupled monocarboxylate transporter 1-like,11397
NC_035782.1,74817729,74831258,74817729,74831258,111125054,XM_022468503.1,uncharacterized LOC111125054,13529
NC_035782.1,74833820,74845117,74833820,74845117,111127542,XM_022472757.1,protein maelstrom homolog,11297
NC_035782.1,74846740,74849462,74846740,74849462,111127541,XM_022472755.1,uncharacterized LOC111127541,2722
NC_035782.1,74849876,74858428,74849876,74858428,111127425,XM_022472597.1,uncharacterized LOC111127425,8552
NC_035782.1,74860997,74869569,74860997,74869569,111126955,XM_022471909.1,uncharacterized LOC111126955,8572
NC_035782.1,74879089,74886652,74879089,74886652,111126744,XM_022471579.1,ubiquitin carboxyl-terminal hydrolase 2-like,7563
NC_035782.1,74886812,74888923,74886812,74888923,111122664,XM_022464521.1,CST complex subunit TEN1-like,2111
NC_035782.1,74891074,74914667,74891074,74914667,111124727,XM_022467875.1,signal transducer and activator of transcription 5B-like,23593
NC_035782.1,74918038,74923264,74918038,74923264,111124728,XM_022467876.1,uncharacterized LOC111124728,5226
NC_035782.1,74926858,74928108,74926858,74928108,111124445,XM_022467299.1,uncharacterized protein F54H12.2-like,1250
NC_035782.1,74933725,74958563,74933725,74958563,111124726,XM_022467873.1,signal transducer and activator of transcription 5A-like,24838
NC_035782.1,74952595,74958574,74952595,74958574,111124733,XM_022467884.1,probable RNA-binding protein 18,5979
NC_035782.1,74960169,74960840,74960169,74960840,111124446,XM_022467300.1,heat shock protein 30C-like,671
NC_035782.1,74964926,74972388,74964926,74972388,111124731,XM_022467879.1,ribosome-recycling factor,7462
NC_035782.1,74967229,75008891,74967229,75008891,111124730,XM_022467877.1,serine/threonine-protein phosphatase 2A activator-like,41662
NC_035782.1,75008775,75015821,75008775,75015821,111124732,XM_022467882.1,protein ABHD14B-like,7046
NC_035782.1,75019305,75029894,75019305,75029894,111123085,XM_022465181.1,uncharacterized LOC111123085,10589
